Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"She Came In Through The Bathroom Window","The Beatles","11B",81.2,"Pop/Rock","Abbey Road","",1/13/2024,"C:\iTunes\Music\The Beatles\Abbey Road\13 She Came In Through The Bathroom Window.mp3","11B - 7",1969,-13.5 dB,7,7,0
"Love Machine(acapella)","Miracles","8A",144.7,"Blues","","",1/13/2024,"C:\iTunes\Music\Miracles\Unknown Album\Love Machine(acapella).mp3","8A - 4",,-15.3 dB,4,8,0
"Untitled Instrumental","Albert King","6A",126.3,"Blues","Born Under A Bad Sign","",6/29/2023,"C:\iTunes\Music\Albert King\Born Under A Bad Sign\16 Untitled Instrumental.mp3","6A - 5",2013,-15.0 dB,5,7,23
"KidLogic - Unknown Entity","Dred Collective","1A",80.0,"","Dred Collective : Vol. 2","",1/13/2024,"C:\iTunes\Music\Dred Collective\Dred Collective _ Vol. 2\12 KidLogic - Unknown Entity.mp3","1A - 6 - Visit http://dredcollective.bandcamp.com",2014,-10.3 dB,6,7,423
"LowTom 909","","4A",157.7,"","","",1/13/2024,"C:\iTunes\Music\Unknown Artist\Unknown Album\LowTom 909.wav","4A - 3",,-9.7 dB,3,0,0
"Mama Sail On Me","Amos Lee","9B",96.7,"Folk-Rock","As The Crow Flies","",6/29/2023,"C:\iTunes\Music\Amos Lee\As The Crow Flies\05 Mama Sail On Me.mp3","9B - 2",2012,-14.8 dB,2,4,19
"YO!","Stratus","8A",101.0,"Trap","","",1/13/2024,"C:\iTunes\Music\Stratus\Unknown Album\YO!.mp3","8A - 7",,-8.3 dB,7,8,9006
"Radical Makes Me Weak","Radical One","7A",112.0,"","","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Radical Makes Me Weak.mp3","7A - 7 - Visit http://radicalone.bandcamp.com",2018,-9.1 dB,7,5,4593
"Memorydress","65daysofstatic","2A",128.0,"Post-Rock/Math-Rock","Come to Me / Weak4 EP","",6/29/2023,"C:\iTunes\Music\65daysofstatic\Come to Me _ Weak4 EP\03 Memorydress.mp3","2A - 7",2010,-10.4 dB,7,8,0
"Fall Down","Tramaine Hawkins","7A",118.3,"Christian & Gospel","The Search Is Over","",9/8/2021,"C:\Users\louis.media\Music\Disco\Fall Down Tramaine Hawkins.mp3","7A - 7",1986,-33.2 dB,7,8,0
"Touch Me (All Night Long)","Wish & Fonda Rae","4A",115.4,"Dance","12"" Classics - EP","",9/8/2021,"C:\Users\louis.media\Music\Disco\Touch Me (All Night Long) Wish & Fonda Rae.mp3","4A - 6",1984,-26.8 dB,6,8,0
"We Came Here to Party","LMFAO - ( Ft. GoonRock )","8A",128.0,"Pop","Sorry For Party Rocking - Deluxe Edition","",1/13/2024,"C:\iTunes\Music\LMFAO - ( Ft. GoonRock )\Sorry For Party Rocking - Deluxe Edition\12 We Came Here to Party.mp3","8A - 8",2011,-8.2 dB,8,8,151
"Flashback","Konami","1A",121.3,"Other","Metal Gear Solid Sound Clips","",1/13/2024,"C:\iTunes\Music\Konami\Metal Gear Solid Sound Clips\Flashback.mp3","1A - 4",2008,-20.8 dB,4,8,0
"Flyyyyy","Jay Dee","8A",89.0,"Hip Hop/Rap","Vol. 1 Unreleased","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\Vol. 1 Unreleased\01 Flyyyyy.mp3","8A - 5",2002,-14.5 dB,5,2,1128
"Ghomrassen","Bonobo","6A",118.0,"Electronic","Star Wars Headspace","",1/13/2024,"C:\iTunes\Music\VA\Star Wars Headspace\08 Ghomrassen.mp3","6A - 5",2016,-9.6 dB,5,8,24737
"Tell Him","The Exciters","9A",87.8,"Pop/Girls","The Best Of The Girl Groups","",1/13/2024,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\jrgreen73\Disc 2\10 - The Exciters - Tell Him.mp3","9A - 3",1963,-17.6 dB,3,4,0
"Ghostwriter","RJD2","4A",93.8,"Sample","Deadringer","",1/13/2024,"C:\iTunes\Music\RJD2\Deadringer\06 Ghostwriter.mp3","4A - 7",2002,-11.4 dB,7,8,8782
"Keep The Faith - 1 Thessalonians (Tedashii Featuring Diamone)","116 Clique","7A",148.0,"Pop","Thirteen Letters","",6/29/2023,"C:\iTunes\Music\Compilations\Thirteen Letters\10 Keep The Faith - 1 Thessalonians (Tedashii Featuring Diamone).m4a","7A - 5",2007,-12.2 dB,5,7,0
"Last Donut of the Night","Jay Dee","3A",80.7,"Hip Hop/Rap","Donuts","stones throw",1/13/2024,"C:\iTunes\Music\Jay Dee\Donuts\30 Last Donut of the Night.mp3","3A - 3",2006,-10.1 dB,3,6,7
"The Calm (Original Mix)","098. Danny Daze","7A",124.0,"","(soundz4.me) presents Beatport Top 100 April 2013","",5/27/2022,"C:\iTunes\Music\(soundz4.me)\(soundz4.me) presents Beatport Top 100 April 2013\The Calm (Original Mix).mp3","7A - 5",,-11.7 dB,5,8,1243
"HXV - WE COMIN feat Mac TurnUp","HxV","2A",128.0,"","","",1/13/2024,"C:\iTunes\Music\HxV\Unknown Album\HXV - WE COMIN feat Mac TurnUp.mp3","2A - 7",,-8.0 dB,7,8,12600
"Bad Selection","Deadmau5","6A",128.0,"Dance","4x4=12 (Deluxe Version)","",1/13/2024,"C:\iTunes\Music\Deadmau5\4x4=12 (Deluxe Version)\04 Bad Selection.m4a","6A - 7",2010,-11.4 dB,7,8,0
"Jazz (We've Got)","A Tribe Called Quest","2A",92.5,"Hip-Hop","The Low End Theory","",6/29/2023,"C:\iTunes\Music\A Tribe Called Quest\The Low End Theory\11 Jazz (We've Got).mp3","2A - 3",1991,-16.0 dB,3,8,0
"Say Arr Ee","Bullion","8A",135.0,"Electronic","Say Arr Ee","",1/13/2024,"C:\iTunes\Music\Bullion\Say Arr Ee\01 Say Arr Ee.mp3","8A - 6",2012,-10.3 dB,6,8,11600
"Apollo (Lucky Date Remix)","052. Hardwell feat. Amba Shepherd","11A",128.0,"","(soundz4.me) presents Beatport Top 100 April 2013","",6/29/2023,"C:\iTunes\Music\(soundz4.me)\(soundz4.me) presents Beatport Top 100 April 2013\Apollo (Lucky Date Remix).mp3","11A - 8",,-10.3 dB,8,8,320
"Ela é Roquerita - (Radical One X Omar Duro X Bonxo)","Radical One","1A",124.0,"","","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Ela é Roquerita - (Radical One X Omar Duro X Bonxo).mp3","1A - 7 - Visit http://radicalone.bandcamp.com",2018,-8.0 dB,7,8,241
"Champs","Moguai","12B",128.0,"Progressive House","Champs","",1/13/2024,"C:\iTunes\Music\Moguai\Champs\Champs.mp3","12B - 8",2013,-9.6 dB,8,8,15673
"Broken Crown","Mumford & Sons","7A",129.0,"Folk Rock","Babel (Deluxe Version)","",1/13/2024,"C:\iTunes\Music\Mumford & Sons\Babel (Deluxe Version)\10 Broken Crown.mp3","7A - 6",2012,-13.9 dB,6,4,135
"The Clown (Episode C)","Quasimoto","2A",115.2,"Hip Hop","The Further Adventures of Lord Quas","",1/13/2024,"C:\iTunes\Music\Quasimoto\The Further Adventures of Lord Quas\23 The Clown (Episode C).mp3","2A - 4",2005,-11.2 dB,4,8,35
"Quest For The Silver Trophy","Autumn Thunder","5A",119.1,"Soundtrack","40 Years Of NFL Films Music","",6/29/2023,"C:\iTunes\Music\Autumn Thunder\40 Years Of NFL Films Music\14 Quest For The Silver Trophy.mp3","5A - 6",2004,-15.6 dB,6,8,241
"Rococo Chanel","Chilly Gonzales","4A",120.0,"Alternative","Ivory Tower","",1/13/2024,"C:\iTunes\Music\Chilly Gonzales\Ivory Tower\06 Rococo Chanel.mp3","4A - 4",2010,-14.4 dB,4,8,0
"Sky","B-Side","11B",120.0,"","Chillhop Essentials - Fall 2017","",1/13/2024,"C:\iTunes\Music\Chillhop Records\Chillhop Essentials - Fall 2017\03 Sky.mp3","11B - 4 - Visit http://chillhop.bandcamp.com",2017,-12.6 dB,4,3,0
"20190712 125809","","12A",122.4,"","","",6/29/2023,"C:\Users\louis.media\Music\iTunes\iTunes Media\Voice Memos\20190712 125809.m4a","12A - 4",,-13.1 dB,4,1,28
"Michael Buble - I'll Be Home For Christmas (Bonz DnB Remix)","Michael Buble","6B",87.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Michael Buble - I'll Be Home For Christmas (Bonz DnB Remix).mp3","6B - 6",,-11.9 dB,6,8,349
"Track 21","Jay Dee","7A",90.0,"Hip Hop/Rap","3 Beat Tapes","instrumental",1/13/2024,"C:\iTunes\Music\Jay Dee\3 Beat Tapes\3-21 Track 21.mp3","7A - 6",2005,-12.5 dB,6,8,3224
"Don't Come Back Knockin'","Buddy Holly","9A",148.3,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\1-26 Don't Come Back Knockin'.mp3","9A - 3",2009,-16.6 dB,3,7,0
"Depths","Fat Jon","11A",92.0,"Hip-Hop","Wave Motion","",1/13/2024,"C:\iTunes\Music\Fat Jon\Wave Motion\09 - Depths.mp3","11A - 5",2001,-14.0 dB,5,8,2
"Omar Montes & Bad Gyal - Alocao (Jm Castillo & Jesús Fernández Re-Drums) (www.hypelatino.com)","Hype Latino","10A",93.0,"Hype Latino","Hype Latino - Best Of The 2019","",1/13/2024,"C:\Users\louis.media\Downloads\Hype Latino - Best of The 2019\Omar Montes & Bad Gyal - Alocao (Jm Castillo & Jesús Fernández Re-Drums).mp3","10A - 6 - www.hypelatino.com",2019,-10.7 dB,6,7,4326
"5ifty$ixK - Nice Rhodes Mix","Dred Collective","4A",120.0,"","Footwork Jungle x Dred Collective - Rave 2.0","",1/13/2024,"C:\iTunes\Music\Dred Collective\Footwork Jungle x Dred Collective - Rave 2.0\08 5ifty$ixK - Nice Rhodes Mix.mp3","4A - 4 - Visit http://dredcollective.bandcamp.com",2014,-11.2 dB,4,8,0
"Golden Wings","Bag Raiders","6A",104.0,"Pop","Bag Raiders","",6/29/2023,"C:\iTunes\Music\Bag Raiders\Bag Raiders\10 Golden Wings.mp3","6A - 8",2010,-11.7 dB,8,6,857
"signatune (thomas bangalter edit)","DJ Mehdi","9A",123.0,"Electronic","Lucky Boy at Night-(EDCD004.2)-(Read_NFO)","",1/13/2024,"C:\iTunes\Music\DJ Mehdi\Lucky Boy at Night-(EDCD004.2)-(Read_NFO)\03 signatune (thomas bangalter edit).mp3","9A - 8",2007,-12.3 dB,8,6,2691
"Since U Been Gone (Chunky Dip Bootleg)","Kelly Clarkson","9B",128.0,"Kick n Bass","Breakaway","",1/13/2024,"C:\iTunes\Music\Kelly Clarkson\Breakaway\Since U Been Gone (Chunky Dip Bootleg).mp3","9B - 6",2016,-9.3 dB,6,8,3643
"#Dust","Alex Gopher","7A",129.8,"Electronic","I Need Change EP Vinyl","",6/29/2023,"C:\iTunes\Music\Alex Gopher\I Need Change EP Vinyl\#Dust.mp3","7A - 7",2005,-18.2 dB,7,8,0
"Peggy Sue (Alternate Take)","Buddy Holly","11B",149.2,"Rock & Roll","Not Fade Away (The Complete Studio Recordings & More)","",1/13/2024,"C:\iTunes\Music\Buddy Holly\Not Fade Away (The Complete Studio Recordings & More)\3-06 Peggy Sue (Alternate Take).mp3","11B - 3",2009,-16.4 dB,3,5,0
"Two Of Us","The Beatles","9B",109.8,"Rock","Anthology 3 - Disc 2","",1/13/2024,"C:\iTunes\Music\The Beatles\Anthology 3 - Disc 2\04 Two Of Us.mp3","9B - 4",1969,-21.5 dB,4,7,0
"Machine Gun","Commodores","8B",112.6,"Pop","","",1/13/2024,"C:\iTunes\Music\Commodores\Unknown Album\Machine Gun.mp3","8B - 7",,-18.8 dB,7,4,0
"Distant Land by Donald Byrd","Madlib","10A",91.3,"Hip Hop/Rap","Shades Of Blue","",1/13/2024,"C:\iTunes\Music\Madlib\Shades Of Blue\03 Distant Land by Donald Byrd.mp3","10A - 6",2003,-15.7 dB,6,8,0
"Flat Beat (Bonus Track)","Mr. Oizo","8A",129.0,"Techno","Analog Worms Attack","",1/13/2024,"C:\iTunes\Music\Mr. Oizo\Analog Worms Attack\15 Flat Beat (Bonus Track).mp3","8A - 6",,-11.5 dB,6,8,99
"ePwhGNwiFSG2.128","","6A",85.0,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\ePwhGNwiFSG2.128.mp3","6A - 6 - All",,-10.0 dB,6,6,8702
"La Elima","Israel Kamakawiwo'ole","4A",105.0,"Hawaiian","Alone In Iz World","",1/13/2024,"C:\iTunes\Music\Israel Kamakawiwo'ole\Alone In Iz World\12 La Elima.mp3","4A - 2",2001,-17.2 dB,2,4,0
"Dixie-Doodle","Link Wray","10A",121.1,"Rock","Rumble! The Best of Link Wray","",1/13/2024,"C:\iTunes\Music\Link Wray\Rumble! The Best of Link Wray\04-Dixie-Doodle.mp3","10A - 6",1993,-16.2 dB,6,7,0
"Zoology","Knife Party feat. Skrillex","2A",110.0,"","","",1/13/2024,"C:\iTunes\Music\Knife Party feat. Skrillex\Unknown Album\01 Zoology.mp3","2A - 7",2011,-7.9 dB,7,5,3624
"Okay Okay","Pino D'Angiò","11A",112.2,"Pop","Ma quale idea - Single","",9/8/2021,"C:\Users\louis.media\Music\Disco\Okay Okay Pino D'Angiò.mp3","11A - 6",1988,-16.7 dB,6,8,0
"Livin' Underwater (Is Something Wild)","The Avalanches","11B",139.1,"","Wildflower LEAK v0","",6/29/2023,"C:\iTunes\Music\The Avalanches\Wildflower LEAK v0\14 Livin' Underwater (Is Something Wild).mp3","11B - 3",,-16.5 dB,3,5,0
"Grenade","Bruno Mars","7A",110.5,"R&B/Pop","Doo-Wops & Hooligans Deluxe Edition","",1/13/2024,"C:\iTunes\Music\Bruno Mars\Doo-Wops & Hooligans Deluxe Edition\01 Grenade.mp3","7A - 6",2011,-9.0 dB,6,5,532
"Beach Club x Relic - Second Wave","Dred Collective","5A",80.0,"","Beach Club x Relic - Second Wave EP","",1/13/2024,"C:\iTunes\Music\Dred Collective\Beach Club x Relic - Second Wave EP\02 Beach Club x Relic - Second Wave.mp3","5A - 8 - Visit http://dredcollective.bandcamp.com",2014,-10.8 dB,8,8,0
"Damso - BRUXELLES VIE (Jael Remix)","JAEL","4A",124.0,"","Jaël - Remixes & Club Edits","",1/13/2024,"C:\Users\louis.media\Downloads\JAEL - Jaël - Remixes & Club Edits\JAEL - Jaël - Remixes & Club Edits - 09 Damso - BRUXELLES VIE (Jael Remix).mp3","4A - 6 - Visit http://jaelmusic.bandcamp.com",2017,-15.4 dB,6,4,0
"Gonna Fly Now (Theme from Rock","Original Soundtrack","8A",95.7,"Soundtrack","Rocky","",1/13/2024,"C:\iTunes\Music\Original Soundtrack\Rocky\01 Gonna Fly Now (Theme from Rock.mp3","8A - 4",1977,-16.0 dB,4,8,0
"I Do (Original Club Mix)","015. Federico Scavo","3A",126.0,"","","",6/29/2023,"C:\iTunes\Music\015. Federico Scavo\Unknown Album\I Do (Original Club Mix).mp3","3A - 6",,-9.6 dB,6,8,13440
"Good Vibrations","The Beach Boys","3A",152.8,"Pop","100 Hits - Classic 60s Disc 1","",6/29/2023,"C:\iTunes\Music\Varioussze Artisten\100 Hits - Classic 60s Disc 1\1-01 Good Vibrations.mp3","3A - 5",2012,-16.8 dB,5,8,0
"All Night","Onra","9A",80.2,"","Chinoiseries Pt. 2","",1/13/2024,"C:\iTunes\Music\Onra\Chinoiseries Pt. 2\22 All Night.mp3","9A - 5",,-11.2 dB,5,7,2
"Make Love","Daft Punk","2A",133.1,"House","Human After All","",1/13/2024,"C:\iTunes\Music\Daft Punk\Human After All\05 Make Love.MP3","2A - 5",2005,-12.6 dB,5,8,0
"Sarah's Destiny & The Coming Storm","Brad Fiedel","7A",148.7,"","The Terminator Soundtrack","",1/13/2024,"C:\iTunes\Music\Brad Fiedel\The Terminator Soundtrack\2-18 Sarah's Destiny & The Coming Storm.mp3","7A - 4",,-33.8 dB,4,8,0
"Pick a doll","Ozgur Can","12A",129.0,"Techno","with shades of grey ep (pickadoll09-6)","",1/13/2024,"C:\iTunes\Music\Ozgur Can\with shades of grey ep (pickadoll09-6)\03 Pick a doll.mp3","12A - 6",2006,-10.2 dB,6,8,6679
"Go! Spastic","Squarepusher","2A",100.0,"","Do You Know Squarepusher (Disk 2)","",1/13/2024,"C:\iTunes\Music\Squarepusher\Do You Know Squarepusher (Disk 2)\07 Go! Spastic.mp3","2A - 5",,-19.3 dB,5,8,0
"Win","SaneBeats","6A",153.0,"Bass","Get Trapped Vol. 1","",1/13/2024,"C:\iTunes\Music\Various Artists\Get Trapped Vol. 1\08 Win.mp3","6A - 7",2014,-11.0 dB,7,7,0
"Gotta Get Away","The Black Keys","12B",124.9,"Indie Rock","Turn Blue","",1/13/2024,"C:\iTunes\Music\The Black Keys\Turn Blue\11 Gotta Get Away.mp3","12B - 5",2014,-10.9 dB,5,5,44
"Whisty (David Jones & Les Bijoux Mix)","Les Bijoux","4A",128.0,"Dance & DJ","Starlight The Anniversary, Vol. 3","",1/13/2024,"C:\iTunes\Music\Various Artists\Starlight The Anniversary, Vol. 3\01 Whisty (David Jones & Les Bijoux Mix).mp3","4A - 6",,-9.0 dB,6,8,3230
"Love Potion No. 9","","8A",129.1,"","","",6/29/2023,"C:\iTunes\Music\Unknown Artist\Unknown Album\Love Potion No. 9.wav","8A - 4",,-16.7 dB,4,4,0
"Tricknology 101","Dr. Octagon","3A",91.5,"Rap & Hip-Hop","The Instrumentalyst (Octagon Beats)","",1/13/2024,"C:\iTunes\Music\Dr. Octagon\The Instrumentalyst (Octagon Beats)\13 Tricknology 101.mp3","3A - 6",1996,-13.8 dB,6,7,0
"Higher with I Believe In You","Hillsong","8B",148.0,"Other","Hillsong - Mighty To Save","",1/13/2024,"C:\iTunes\Music\Hillsong\Hillsong - Mighty To Save\13 - Higher With I Believe In You.mp3","8B - 5",2006,-12.2 dB,5,8,49
"Track 20","Amon Tobin","4A",85.9,"Electronica","Solid Steel","",6/29/2023,"C:\iTunes\Music\Amon Tobin\Solid Steel\20 Track 20.mp3","4A - 5",,-14.0 dB,5,8,451
"Stay (Feat. Mikky Ekko)","Rihanna","8A",112.0,"R&B","Unapologetic","",1/13/2024,"C:\iTunes\Music\Rihanna\Unapologetic\09 Stay (Feat. Mikky Ekko).mp3","8A - 2",2012,-14.1 dB,2,5,0
"Listen Up","Ambassador","9A",84.9,"Hip Hop/Rap","The Chop Chop From Milk To Meat","",6/29/2023,"C:\iTunes\Music\Ambassador\The Chop Chop From Milk To Meat\08 Listen Up.mp3","9A - 6",2008,-11.5 dB,6,8,877
"The Prime Time Of Your Life","Daft Punk","8A",128.4,"House","Human After All","",1/13/2024,"C:\iTunes\Music\Daft Punk\Human After All\02 The Prime Time Of Your Life.MP3","8A - 5",2005,-10.6 dB,5,5,1
"You Spin Me Round (Like A Record)","Dead Or Alive","11A",128.2,"Pop","Seriously 80's","",1/13/2024,"C:\iTunes\Music\Compilations\Seriously 80's\2-06 You Spin Me Round (Like A Record).mp3","11A - 7",2012,-16.8 dB,7,5,0
"Fallen","","11B",153.0,"","Songs About Nothing","",6/29/2023,"C:\iTunes\Music\Hunter Hayes\Songs About Nothing\Fallen.mp3","11B - 6",,-10.5 dB,6,8,1794
"ZOo00OOm","Hudson Mohawke","2A",150.0,"Electronica/Dance","Butter","",1/13/2024,"C:\iTunes\Music\Hudson Mohawke\Butter\07. Hudson Mohawke - ZOo00OOm.mp3","2A - 6",2009,-9.5 dB,6,8,2031
"I Get The Bag RMX w/ Rilla Force","Radical One","3A",146.0,"","","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - I Get The Bag RMX w- Rilla Force.mp3","3A - 5 - Visit http://radicalone.bandcamp.com",2019,-11.7 dB,5,8,3351
"07. money folder","","4A",126.2,"","","",6/29/2023,"C:\Users\louis.media\Downloads\Madvillian Acapellas - fan made\07. money folder.mp3","4A - 3",,-18.5 dB,3,8,2
"Machine Girl - Ghost (FootMerc Remix)","Dred Collective","6A",159.9,"","Machine Girl - WLFGRL Remixes A","",1/13/2024,"C:\iTunes\Music\Dred Collective\Machine Girl - WLFGRL Remixes A\02 Machine Girl - Ghost (FootMerc Remix).mp3","6A - 6 - Visit http://dredcollective.bandcamp.com",2014,-12.3 dB,6,8,24
"Alive/Prime Time of Your Life","Daft Punk","8A",130.0,"House","2006-04-29: Coachella Valley Music Festival","",1/13/2024,"C:\iTunes\Music\Daft Punk\2006-04-29_ Coachella Valley Music Festival\11 Alive_Prime Time of Your Life.mp3","8A - 7",2006,-13.4 dB,7,7,1400
"La Bilirrubina","Juan Luis Guerra","3B",130.0,"Latin","Grandes Exitos [Two Bonus Tracks]","",1/13/2024,"C:\iTunes\Music\Juan Luis Guerra y 4.40\Grandes Exitos [Two Bonus Tracks]\11 La Bilirrubina.mp3","3B - 7",1995,-12.2 dB,7,8,70
"Everything After (Original Mix)","Deadmau5","7A",128.0,"Progressive House","It Sounds Like","It Sounds Like",1/13/2024,"C:\iTunes\Music\Deadmau5\It Sounds Like\06 Everything After (Original Mix).mp3","7A - 5",2006,-9.1 dB,5,8,397
"Epic (Carnage & Luminox Festival Trap Refix)","Sandro Silva & Quintino","9A",140.0,"Trap","Thissongissick.com","Thissongissick.com",1/13/2024,"C:\iTunes\Music\Sandro Silva & Quintino\Thissongissick.com\Epic (Carnage & Luminox Festival Trap Refix).mp3","9A - 7",2012,-8.6 dB,7,8,21500
"Revolution","The Beatles","2B",118.8,"Pop/Rock","Past Masters, Volume Two","",1/13/2024,"C:\iTunes\Music\The Beatles\Past Masters, Volume Two\08 Revolution.mp3","2B - 5",1988,-15.3 dB,5,8,0
"Lonely Teenager","Dion & The Belmonts","6A",143.6,"Classic Rock","The Wanderer","",1/13/2024,"C:\Users\louis.media\Documents\Soulseek Downloads\AcridPandora\13 Lonely Teenager.mp3","6A - 4",1989,-18.9 dB,4,8,0
"AROUND THE WORLD 2008 (ELECTRO MIX)","Daft Punk","9A",132.9,"House","AROUND001","",1/13/2024,"C:\iTunes\Music\Daft Punk\AROUND001\01 AROUND THE WORLD 2008 (ELECTRO MIX).MP3","9A - 6",2008,-15.8 dB,6,8,0
"Have Some Fun Feat Pri-Yah (Cristian Marchi And Paolo Sandrini Rework)","024. Execute","10A",128.0,"","","",6/29/2023,"C:\iTunes\Music\024. Execute\Unknown Album\Have Some Fun Feat Pri-Yah (Cristian Marchi And Paolo Sandrini Rework).mp3","10A - 8",,-9.6 dB,8,5,13755
"UFOs Over Leytonstone","Squarepusher","5A",147.0,"","Feed Me Weird Things","",1/13/2024,"C:\iTunes\Music\Squarepusher\Feed Me Weird Things\10 UFOs Over Leytonstone.mp3","5A - 4",,-17.1 dB,4,8,0
"Show Me","Bruno Mars","8B",156.0,"R&B/Pop","Unorthodox Jukebox Deluxe Edition","",1/13/2024,"C:\iTunes\Music\Bruno Mars\Unorthodox Jukebox Deluxe Edition\08 Show Me.mp3","8B - 6",2012,-10.7 dB,6,8,2003
"Baby Ford - Normal (Helston Flora Remix By AFX)","Aphex Twin","6A",130.3,"Electronic","26 Mixes For Cash [CD2]","",6/29/2023,"C:\iTunes\Music\Aphex Twin\26 Mixes For Cash [CD2]\08 Baby Ford - Normal (Helston Flora Remix By AFX).mp3","6A - 6",2003,-10.4 dB,6,8,1030
"Untitled","Amon Tobin","1A",133.3,"Electronica","Verbal mixes and collaborations","",6/29/2023,"C:\iTunes\Music\Amon Tobin\Verbal mixes and collaborations\02 Untitled.mp3","1A - 4",,-14.0 dB,4,8,2436
"The Tide","Squarepusher","7A",114.0,"","Budakhan Mindphone","",1/13/2024,"C:\iTunes\Music\Squarepusher\Budakhan Mindphone\03 The Tide.mp3","7A - 4",,-19.9 dB,4,8,7
"Glad I ate her","Cass & Slide","1A",125.5,"","","",1/13/2024,"C:\iTunes\Music\Cass & Slide\Unknown Album\Glad I ate her.mp3","1A - 7",,-15.1 dB,7,8,30
"Arizona Ice Tea Flash (Patrick Podage Remix)","Lea Lu","11A",120.0,"Progressive House, Deep House, Tech House, Electro House, Indie Dance / Nu Disco","Beatport Top 100 March 2014","",1/13/2024,"C:\iTunes\Music\Various Artists\Beatport Top 100 March 2014\60 Arizona Ice Tea Flash (Patrick Podage Remix).mp3","11A - 6",2014,-9.5 dB,6,8,61
"True Blue","Madonna","1B",118.0,"Pop","True Blue","",1/13/2024,"C:\iTunes\Music\Madonna\True Blue\06 True Blue.mp3","1B - 6",1986,-17.3 dB,6,6,14
"Stairway to Heaven","Led Zeppelin","8A",98.7,"Rock","Led Zeppelin IV","",1/13/2024,"C:\iTunes\Music\Led Zeppelin\Led Zeppelin IV\04 Stairway to Heaven.mp3","8A - 4",1971,-14.3 dB,4,8,1956
