Title,Artist,Key,Tempo,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
"Sticky (omar woods baile edit)","","11A",137.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Sticky (omar woods baile edit).wav","11A - 6",,-10.233012164473,6,8,7281
"Gotta Go Home (Long 12'' Version)","Boney M","2A",131.6,"","Ultimate - Long Versions & Rarities Volume 1: 1976-1980","",8/12/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\Rainbow Warrior\Boney M - Long versions & rarities 1976-1980 Volume 1 2008\06. gotta go home (long 12'' version).mp3","2A - 7",2008,-12.7840837234481,7,8,280
"SIN PARAR. (DRAKE NONSTOP- RADICAL ONE REMIX)","Radical One","9A",87.0,"","","",3/18/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - SIN PARAR. (DRAKE NONSTOP- RADICAL ONE REMIX).mp3","9A - 7 - Visit http://radicalone.bandcamp.com",2019,-10.599698319839,7,8,7
"Austin Marc - so much hype","Austin Marc","7A",127.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Austin Marc - so much hype.wav","7A - 6",,-8.66041943293293,6,6,4626
"Yael Naim New Soul Remix","","12B",126.6,"","","",8/12/2023,"C:\Users\louis.media\Music\Yael Naim New Soul Remix.mp3","12B - 6",2012,-14.1485017329375,6,8,314
"Que - OG Bobby Johnson (Walshy Fire & KickRaux Remix) (Instrumental)","Certified Clubtapes","4A",132.0,"","Certified Clubtapes, Vol. 01","",6/13/2021,"C:\iTunes\Music\Various Artists\Certified Clubtapes, Vol. 01\07 Que - OG Bobby Johnson (Walshy Fire & KickRaux Remix) (Instrumental).mp3","4A - 5",2014,-12.0261980546649,5,8,2949
"Hear Me Out 6","","5A",133.0,"","","",6/13/2021,"C:\Users\louis.media\Downloads\Hear Me Out 6.wav","5A - 6",,-12.0370566710888,6,8,6393
"Gym Tonic (Thomas Bangalter Mix)","Bob Sinclar","3A",130.0,"French House","Paradise","",6/30/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\Wolvpak\Paradise\13 Gym Tonic (Thomas Bangalter Mix).mp3","3A - 7",1998,-9.62056660256734,7,7,147
"Survivor (BAVR Brass RMX)","","1A",88.0,"","","",7/25/2021,"C:\Users\louis.media\Downloads\Survivor (BAVR Brass RMX).wav","1A - 6",,-12.2091541684375,6,8,4118
"deli(Lotso club edit)","","8A",140.0,"","","",9/21/2023,"C:\Users\louis.media\Downloads\deli(Lotso club edit).mp3","8A - 7",,-8.79034550800031,7,8,0
"robot rock (paul mond flip)","","8A",136.0,"","","",9/21/2023,"C:\Users\louis.media\Downloads\robot rock (paul mond flip).wav","8A - 7",,-6.41921762384045,7,8,0
"Sicko Moda (Guari Salsa Edit) - Drake & Travis Scott","Sicko Moda (Guari Salsa Edit)","8A",94.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Sicko Moda (Guari Salsa Edit) - Drake & Travis Scott.mp3","8A - 6",,-12.7754973784456,6,8,1930
"CKay - Love Nwantiti (GUALTIERO & HAPPY COLORS Edit)","CKay","4A",96.0,"","","",8/12/2023,"C:\Users\louis.media\Music\CKay - Love Nwantiti (GUALTIERO & HAPPY COLORS Edit).wav","4A - 5",,-10.4562692457766,5,8,11786
"K, Le Maestro - Crank Dat in the Land of the Rising Sun","K, Le Maestro","12A",140.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\K, Le Maestro - Crank Dat in the Land of the Rising Sun.wav","12A - 6",,-12.7421549508948,6,7,10
"Palante Siempre Palante","D-Stroy & DJ Tony Touch","8A",92.3,"Hip-Hop","Touch And D-Stroy '94 Demo EP","",8/12/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\aly\06 D-Stroy & DJ Tony Touch - Palante Siempre Palante.mp3","8A - 6",2011,-17.2961529869858,6,8,0
"Work It Out (Original Mix)","Karizma","3A",120.0,"","Beatport Top 100 Downloads June 2017","",8/12/2023,"C:\Users\louis.media\Music\069. Karizma - Work It Out (Original Mix).mp3","3A - 6",,-11.9127393888867,6,8,893
"Murder Of Don Fanucci","Carmine Coppola","5A",134.8,"Soundtrack","The Godfather II","",12/2/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\moignon\1974. The Godfather II\13. Carmine Coppola - Murder Of Don Fanucci.mp3","5A - 4 - ExactAudioCopy v0.95b2",1974,-17.2333001454271,4,3,2
"Mr Johnson Choir Concert - Magnolia Cover","Mr Johnson Choir Concert","10A",81.0,"","","",3/18/2023,"D:\Breakfast Beats\Mr Johnson Choir Concert - Magnolia Cover.mp3","10A - 4",,-14.0475597563165,4,6,45
"Boo'd Up (DJ T Marq Jersey Club Remix)","","10A",145.0,"","","",8/12/2023,"C:\Users\louis.media\Music\Boo'd Up (DJ T Marq Jersey Club Remix).wav","10A - 7",,-10.9179254579105,7,8,3020
"ForTunes - I Just Want To Love You Up","ForTunes","9A",99.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\ForTunes - I Just Want To Love You Up.wav","9A - 6",,-13.6438892689658,6,8,0
"Tennies (Junk Food Bootleg)","Tkay Maidza","3A",130.0,"Shoes","","",3/18/2023,"C:\Users\louis.media\Downloads\Tennies (Junk Food Bootleg).wav","3A - 8",2017,-9.17887983238188,8,8,20534
"Sticky (BAVR _Lady_ Flip)","","3A",137.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Sticky (BAVR _Lady_ Flip).wav","3A - 8",,-13.4246462401774,8,7,0
"Amala","Owen Vonn","5A",123.0,"","","",8/12/2023,"C:\Users\louis.media\Music\Owen Vonn - Amala.mp3","5A - 6",,-11.2687357043898,6,8,33
"Gyalchester (Radical One Edit)","Radical One","12A",155.0,"","","",3/18/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Gyalchester (Radical One Edit).mp3","12A - 7 - Visit http://radicalone.bandcamp.com",2019,-9.92660309538614,7,6,15
"GUALTIERO - Dawn Penn (GUALTIERO QUICK FLIP)","GUALTIERO","7A",92.0,"","","",8/12/2023,"C:\Users\louis.media\Music\GUALTIERO - Dawn Penn (GUALTIERO QUICK FLIP).wav","7A - 5",,-9.39044500068622,5,8,0
"Latina Cuica","Soul Faya","4A",126.0,"Reggae","Latina Cuica - Single","",3/18/2023,"C:\Users\louis.media\Music\iTunes\iTunes Media\Music\Soul Faya\Latina Cuica - Single\01 Latina Cuica.m4a","4A - 6",2020,-9.08522986696864,6,5,27552
"Radical One - RADICAL ONE PRESENTS- EL PAQUETE DE MUNCH (2022) - 01 RADICAL ONE - MERENGUIAO X MUNCH (83BPM)","Radical One","8A",83.0,"","","",6/30/2023,"C:\Users\louis.media\Downloads\Radical One - RADICAL ONE PRESENTS- EL PAQUETE DE MUNCH (2022)\Radical One - RADICAL ONE PRESENTS- EL PAQUETE DE MUNCH (2022) - 01 RADICAL ONE - MERENGUIAO X MUNCH (83BPM).wav","8A - 6",,-7.47819353832525,6,5,0
"CRANKDAT - AleRossi (Red Ed)","CRANKDAT","5A",140.0,"","","",8/12/2023,"C:\Users\louis.media\Music\CRANKDAT - AleRossi (Red Ed).wav","5A - 7",,-8.50757260056216,7,7,0
"Hyalyte - What Goes Around","Hyalyte","5A",140.0,"","","",3/25/2023,"C:\Users\louis.media\Downloads\Hyalyte - What Goes Around.wav","5A - 4",,-12.5929989938219,4,8,0
"Sainté - champagne shots (T.Herr Edit) [HZRX]","Sainté","12A",137.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Sainté - champagne shots (T.Herr Edit) [HZRX].wav","12A - 5",,-8.76313543545943,5,8,0
"Catalina","Radical One","6A",140.0,"","FIGHT CLVB & RADICAL ONE PRESENT: TIGRIS VOL. 1 🐯","",3/18/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - FIGHT CLVB & RADICAL ONE PRESENT- TIGRIS VOL. 1 🐯\Radical One - FIGHT CLVB & RADICAL ONE PRESENT- TIGRIS VOL. 1 🐯 - 04 Catalina.mp3","6A - 6 - Visit http://radicalone.bandcamp.com",2020,-9.89203376438357,6,6,12786
"wuki - 50 Cent Crossing -Wukileak-","wuki","11B",92.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\wuki - 50 Cent Crossing -Wukileak-.wav","11B - 6",,-7.23114475639218,6,8,2422
"Afuego Crew - Mojiganga Interlude","Afuego Crew","12B",90.0,"","","",12/11/2023,"C:\Users\louis.media\Downloads\Afuego Crew - Mojiganga Interlude.wav","12B - 5",,-10.8094565389382,5,5,0
"I didn't get my PhD","","11A",135.0,"","","",6/13/2021,"C:\Users\louis.media\Downloads\I didn't get my PhD.wav","11A - 8",,-9.4804443117979,8,8,3343
"VAI SUA CAVALONA (Clipe Oficial) Jeeh FDC, Menor MT, Yuri Redicopa, Pelé","PUTA RARA, PUTA MEXICANA","12A",130.0,"","","",12/29/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\djalexsouzamao\Tick Tok 2023\PUTA RARA, PUTA MEXICANA - VAI SUA CAVALONA (Clipe Oficial) Jeeh FDC, Menor MT, Yuri Redicopa, Pelé.mp3","12A - 4 - www.mediahuman.com",,-9.41540931103601,4,8,38833
"Andrew - Mariazinha","Andrew x Vitus Tribe","6A",127.0,"","","",6/29/2023,"C:\iTunes\Music\Andrew x Vitus Tribe\Unknown Album\Andrew - Mariazinha.mp3","6A - 6 - 6A - Energy 6 - Enjoy",2018,-10.6832803818933,6,8,6173
"Lorkestra - SKEEYEE RIDDIM","Lorkestra","2A",144.0,"","","",12/2/2023,"C:\Users\louis.media\Downloads\Lorkestra - SKEEYEE RIDDIM.wav","2A - 5",,-9.63050898007472,5,5,1563
"RADICAL ONE TIRALE EL D 81bpm INSTAGRAM @RADICAL.ONE","RADICAL ONE","5A",81.0,"Radical One","INSTAGRAM @RADICAL.ONE","",7/17/2021,"C:\Users\louis.media\Music\RADICAL ONE TIRALE EL D 81bpm INSTAGRAM @RADICAL.ONE.mp3","5A - 6",2020,-7.54127172166818,6,8,23699
"OG Bobby Johnson (Walshy Fire & KickRaux Remix) [Clean] (8 Bar Intro)","Que","4A",132.0,"Electronic","","",12/6/2023,"C:\iTunes\Music\Walshy Fire & KickRaux\Unknown Album\OG Bobby Johnson (Walshy Fire & KickRaux Remix) [Clean] (8 Bar Intro).mp3","4A - 7",2014,-11.6404389804974,7,8,3744
"Con","Radical One","6A",130.0,"","Carta Para Ti","",3/18/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Carta Para Ti\Radical One - Carta Para Ti - 04 Con.mp3","6A - 7 - Visit http://radicalone.bandcamp.com",2018,-9.05809385722243,7,4,5
"Work It Out (Original Mix)","Karizma","3A",120.0,"","Beatport Top 100 Downloads June 2017","",3/18/2023,"C:\Users\louis.media\Documents\Soulseek Downloads\complete\Pathilde\BeatportTop100DownloadsJune2017\069. Karizma - Work It Out (Original Mix).mp3","3A - 6",,-11.9127393888867,6,8,893
"Owen Vonn - What Once Was","Owen Vonn","6A",120.8,"","","",8/12/2023,"C:\Users\louis.media\Music\Owen Vonn - What Once Was.mp3","6A - 6",,-11.00248923776,6,8,70
"WNTR - jumpoff","WNTR","12A",120.0,"","","",8/12/2023,"C:\Users\louis.media\Music\WNTR - jumpoff.mp3","12A - 8",,-10.4611555869685,8,8,20981
"Digga D - WHO? [Upper90 Edit]","Upper90","7A",141.0,"","WHO?","",3/18/2023,"C:\Users\louis.media\Downloads\Upper90 - WHO .mp3","7A - 6",2021,-10.1241824751884,6,8,60
"Hyalyte - Tom's Diner ","Hyalyte","12A",130.0,"","","",6/27/2021,"C:\Users\louis.media\Downloads\Hyalyte - Tom's Diner .wav","12A - 4",,-14.6456834308795,4,7,0
"Mas Frijoles","Radical One","10B",142.0,"","Mas Pavo 2","",3/18/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Mas Pavo 2\Radical One - Mas Pavo 2 - 06 Mas Frijoles.mp3","10B - 7 - Visit http://radicalone.bandcamp.com",2018,-10.1383456574069,7,7,2
"Working On The Weekend (Remix) - Simen Sez, Jerrod Cleofe, Cadeem Lamarr","Drake","5A",127.0,"","","",6/13/2021,"C:\Users\louis.media\Downloads\Working On The Weekend (Drake Remix) - Simen Sez, Jerrod Cleofe, Cadeem Lamarr.mp3","5A - 6",,-8.59105713587525,6,8,7912
"hiram - soulja in paris","hiram","4A",144.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\hiram - soulja in paris.mp3","4A - 5",,-11.6495113778781,5,8,0
"SugaSuga-(NEYA-x-PEKO-RMX)","","10A",150.0,"","","",12/28/2023,"C:\Users\louis.media\Music\SugaSuga-(NEYA-x-PEKO-RMX).wav","10A - 6",,-8.78898327363529,6,8,0
"wuki - Wukileaks Vol. 1 - 09 The Hustle","wuki","8B",130.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\wuki - Wukileaks Vol. 1\wuki - Wukileaks Vol. 1 - 09 The Hustle.wav","8B - 6",,-11.2106170263078,6,8,1858
"Go To Work Ft. Dave Nunes","1 FS Green","9A",130.0,"Club","Club Works Vol. 2","",8/12/2023,"C:\Users\louis.media\Music\1 FS Green - Go To Work Ft. Dave Nunes.mp3","9A - 7",2023,-10.6505601894892,7,6,6619
"JOAO LAGRIMA DE OURO - BATE PALMA","JOAO LAGRIMA DE OURO","1A",82.5,"","","",9/21/2023,"C:\Users\louis.media\Downloads\JOAO LAGRIMA DE OURO - BATE PALMA.wav","1A - 8",,-8.33157961575536,8,8,12730
"Nji fel Lil","PEKODJINN","6A",132.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\PEKODJINN - Nji fel Lil.mp3","6A - 6 - Visit https://pekodjinn.bandcamp.com",2021,-8.88212610433199,6,6,8993
"Mas Papa","Radical One","8A",135.0,"","Mas Pavo 2","",6/30/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Mas Pavo 2\Radical One - Mas Pavo 2 - 05 Mas Papa.mp3","8A - 9 - Visit http://radicalone.bandcamp.com",2018,-12.2097043344748,9,4,519
"BAG DE PAPI JUAN","Radical One","8A",142.0,"","Radical One Presents: Mangu Daddy Edits Vol. 1","",3/18/2023,"C:\Users\louis.media\Music\Radical One Full Collection\Radical One - Radical One Presents- Mangu Daddy Edits Vol. 1\Radical One - Radical One Presents- Mangu Daddy Edits Vol. 1 - 12 BAG DE PAPI JUAN.mp3","8A - 7 - Visit http://radicalone.bandcamp.com",2018,-10.325526538318,7,4,4
"DROP ESG BAILE FUNK REMIX FINAL 1","","2A",130.0,"","","",3/5/2023,"C:\Users\louis.media\Downloads\DROP ESG BAILE FUNK REMIX FINAL 1.wav","2A - 7",,-12.2961130667394,7,8,0
"Perra (Lusho remix)","J Balvin, Tokischa, Lusho","9A",147.0,"","Perra (Remix)","",11/28/2023,"C:\Users\louis.media\Downloads\01 Perra (Lusho remix).mp3","9A - 7",2022,-9.59851482334382,7,8,1334
"Radical One - RADICAL ONE PRESENTS- EL PAQUETE DE MUNCH (2022) - 04 RADICAL ONE - MERENGUIAO X MUNCH (83BPM) -CLEAN-","Radical One","8A",83.0,"","","",3/18/2023,"C:\Users\louis.media\Downloads\Radical One - RADICAL ONE PRESENTS- EL PAQUETE DE MUNCH (2022)\Radical One - RADICAL ONE PRESENTS- EL PAQUETE DE MUNCH (2022) - 04 RADICAL ONE - MERENGUIAO X MUNCH (83BPM) -CLEAN-.wav","8A - 6",,-7.34961303289744,6,5,0
"Sean Dream - DABABY WILL ROLL","Sean Dream","1A",130.0,"","","",12/11/2023,"C:\Users\louis.media\Downloads\Sean Dream - DABABY WILL ROLL.wav","1A - 8",,-10.3387970023184,8,6,3547
